natural_language_query,sql_query,column_used,expected_llm_response,expected_llm_response_key_column_match,expected_llm_response_value_column_candidates,ground_truth_column,ground_truth_selection_details,final_column,Table or Retrieval
"In Gastric/GEJ trials in Phase 3 using monotherapy, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Name of ICI"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Gastric/GEJ' AND TRIM(COALESCE(""Monotherapy/combination"", '')) = 'Monotherapy' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Name of ICI,"{""class"": ""PD1""}",,,Class of ICI,"{""Cancer type"": ""Gastric/GEJ"", ""Monotherapy/combination"": ""Monotherapy"", ""Trial phase"": ""Phase 3""}",Class of ICI,Table
"In Renal cell trials in Phase 3 using ICI+TKI, extract the dosing schedule from the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Renal cell' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+TKI';",Treatment regimen,"{""schedule"": ""q3w""}",,,no_match,"{""Cancer type"": ""Renal cell"", ""Trial phase"": ""Phase 3"", ""Type of combination"": ""ICI+TKI""}",no_match,Table
"In Non-Small Cell Lung trials in Phase 2 for Pembrolizumab with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Control regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Non-Small Cell Lung' AND TRIM(COALESCE(""Control arm"", '')) = 'Chemo' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Pembrolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 2';",Control regimen,"{""control_drugs"": [""docetaxel""]}",,,no_match,"{""Cancer type"": ""Non-Small Cell Lung"", ""Control arm"": ""Chemo"", ""Name of ICI"": ""Pembrolizumab"", ""Trial phase"": ""Phase 2""}",no_match,Table
"In Small Cell Lung trials using ICI+Chemo included in the meta-analysis, identify whether cisplatin or carboplatin was used in the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Small Cell Lung' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+Chemo';",Treatment regimen,"{""platinum_agent"": ""carboplatin""}",,,no_match,"{""Cancer type"": ""Small Cell Lung"", ""Included in MA"": ""Yes"", ""Type of combination"": ""ICI+Chemo""}",no_match,Table
"In Melanoma trials for Ipilimumab included in the meta-analysis, bucket trial phase into early (1/1b/2) vs late (3/4).","SELECT ""Trial phase""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Trial phase"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Melanoma' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Ipilimumab';",Trial phase,"{""phase_bucket"": ""late""}",,,no_match,"{""Cancer type"": ""Melanoma"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Ipilimumab""}",no_match,Table
"In Non-Small Cell Lung trials in Phase 3 for Nivolumab with chemotherapy control, identify the specific regimen name(s) represented in the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Control regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Non-Small Cell Lung' AND TRIM(COALESCE(""Control arm"", '')) = 'Chemo' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Control regimen,"{""specific_regimens"": [""Chemotherapy""]}",,,no_match,"{""Cancer type"": ""Non-Small Cell Lung"", ""Control arm"": ""Chemo"", ""Name of ICI"": ""Nivolumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials in Phase 3 with chemotherapy control included in the meta-analysis, identify the chemotherapy backbone from the control regimen (e.g., FOLFOX/CAPOX).","SELECT ""Control regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Control regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Control arm"", '')) = 'Chemo' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Control regimen,"{""control_backbone"": ""Carboplatin+Paclitaxel""}",,,no_match,"{""Control arm"": ""Chemo"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Avelumab trials in Phase 3 using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Avelumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+TKI';",Treatment regimen,"{""tki_agents"": [""axitinib""]}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Avelumab"", ""Trial phase"": ""Phase 3"", ""Type of combination"": ""ICI+TKI""}",no_match,Table
"In Melanoma trials for Pembrolizumab using ICI plus BRAFi+MEKi included in the meta-analysis, identify the BRAF inhibitor used in the regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Melanoma' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Pembrolizumab' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+BRAFi+MEKi';",Treatment regimen,"{""braf_inhibitor"": ""dabrafenib""}",,,no_match,"{""Cancer type"": ""Melanoma"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Pembrolizumab"", ""Type of combination"": ""ICI+BRAFi+MEKi""}",no_match,Table
"In Melanoma trials for Pembrolizumab using ICI plus BRAFi+MEKi included in the meta-analysis, identify the MEK inhibitor used in the regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Melanoma' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Pembrolizumab' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+BRAFi+MEKi';",Treatment regimen,"{""mek_inhibitor"": ""trametinib""}",,,no_match,"{""Cancer type"": ""Melanoma"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Pembrolizumab"", ""Type of combination"": ""ICI+BRAFi+MEKi""}",no_match,Table
"In Renal cell trials for Atezolizumab using ICI+Anti-VEGF included in the meta-analysis, list the anti-VEGF agent(s) mentioned in the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Renal cell' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+Anti-VEGF';",Treatment regimen,"{""anti_vegf_agents"": [""bevacizumab""]}",,,no_match,"{""Cancer type"": ""Renal cell"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Atezolizumab"", ""Type of combination"": ""ICI+Anti-VEGF""}",no_match,Table
"For Atezolizumab trials using ICI+MEKi, list the MEK inhibitor(s) mentioned in the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+MEKi';",Treatment regimen,"{""meki_agents"": [""cobimetinib""]}",,,no_match,"{""Included in MA"": ""No"", ""Name of ICI"": ""Atezolizumab"", ""Type of combination"": ""ICI+MEKi""}",no_match,Table
"In Non-Small Cell Lung trials in Phase 3 for Nivolumab, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Secondary endpoint"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Non-Small Cell Lung' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Secondary endpoint,"{""endpoint_role"": ""secondary""}",,,no_match,"{""Cancer type"": ""Non-Small Cell Lung"", ""Name of ICI"": ""Nivolumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"In Small Cell Lung trials using ICI+Chemo included in the meta-analysis, list additional agents in the treatment regimen beyond the ICI.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Small Cell Lung' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Monotherapy/combination"", '')) = 'Combination' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+Chemo';",Treatment regimen,"{""added_agents"": [""paclitaxel"", ""carboplatin""]}",,,no_match,"{""Cancer type"": ""Small Cell Lung"", ""Included in MA"": ""Yes"", ""Monotherapy/combination"": ""Combination"", ""Type of combination"": ""ICI+Chemo""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, construct a PubMed URL from the PubMed ID.","SELECT ""PubMed ID""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""PubMed ID"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",PubMed ID,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29562145/""}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"In Melanoma trials for Nivolumab included in the meta-analysis, for composite or co-primary endpoints, list the individual components from the primary endpoint text.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Primary endpoint"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Melanoma' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab';",Primary endpoint,"{""components"": [""OS"", ""ORR""]}",,,no_match,"{""Cancer type"": ""Melanoma"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, bucket the publication year into: ≤2014, 2015–2018, ≥2019.","SELECT ""Year""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Year"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Year,"{""era"": ""2015–2018""}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, bucket total sample size as small(<100), medium(100–299), or large(≥300).","SELECT ""Total sample size""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Total sample size"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Total sample size,"{""size_bucket"": ""large""}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, interpret the PD-L1 requirement flag as boolean true/false.","SELECT ""Is PD-L1 positivity inclusion criteria""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Is PD-L1 positivity inclusion criteria"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Is PD-L1 positivity inclusion criteria,"{""pd_l1_required"": false}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, categorize number of arms as 1-arm, 2-arm, or ≥3-arm.","SELECT ""Number of arms""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Number of arms"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Number of arms,"{""arm_category"": ""2-arm""}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, classify the control arm as active, placebo, or best supportive care.","SELECT ""Control arm""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Control arm"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Control arm,"{""control_category"": ""active""}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"In Non-Small Cell Lung trials in Phase 3 for Nivolumab, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Secondary endpoint"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Non-Small Cell Lung' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Secondary endpoint,"{""irAE_assessed"": false}",,,no_match,"{""Cancer type"": ""Non-Small Cell Lung"", ""Name of ICI"": ""Nivolumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, convert 'Original/Follow up' status into a boolean is_follow_up.","SELECT ""Originial publication or Follow-up""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Originial publication or Follow-up"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Originial publication or Follow-up,"{""is_follow_up"": false}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, convert 'Type of therapy' into is_combination = true/false.","SELECT ""Type of therapy""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Type of therapy"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Type of therapy,"{""is_combination"": true}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Nivolumab, Ipilimumab trials in Phase 3 included in the meta-analysis, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.","SELECT ""Clinical setting""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Clinical setting"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab, Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Clinical setting,"{""setting_normalized"": ""metastatic/advanced""}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab, Ipilimumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"In Melanoma trials for Nivolumab included in the meta-analysis, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Primary endpoint"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Melanoma' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab';",Primary endpoint,"{""primary_endpoint_category"": ""OS""}",,,Primary endpoint,"{""Cancer type"": ""Melanoma"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab""}",Primary endpoint,Table
"For Durvalumab trials in Phase 3 included in the meta-analysis, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).","SELECT ""Trial name""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Trial name"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Durvalumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Trial name,"{""trial_acronym"": ""PACIFIC""}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Durvalumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"In Non-Small Cell Lung trials in Phase 3 for Atezolizumab using combination therapy, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).","SELECT ""Type of combination""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Type of combination"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Non-Small Cell Lung' AND TRIM(COALESCE(""Monotherapy/combination"", '')) = 'Combination' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Type of combination,"{""combo_type_norm"": ""ICI+Chemo""}",,,no_match,"{""Cancer type"": ""Non-Small Cell Lung"", ""Monotherapy/combination"": ""Combination"", ""Name of ICI"": ""Atezolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"In Melanoma trials for Nivolumab included in the meta-analysis, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","SELECT ""Follow-up duration for primary endpoint(s) in months | Overall""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Follow-up duration for primary endpoint(s) in months | Overall"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Melanoma' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab';",Follow-up duration for primary endpoint(s) in months | Overall,"{""maturity"": ""immature""}",,,no_match,"{""Cancer type"": ""Melanoma"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab""}",no_match,Table
"In Melanoma trials for Nivolumab included in the meta-analysis, bucket overall follow-up months into <12, 12–23, or ≥24.","SELECT ""Follow-up duration for primary endpoint(s) in months | Overall""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Follow-up duration for primary endpoint(s) in months | Overall"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Melanoma' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab';",Follow-up duration for primary endpoint(s) in months | Overall,"{""followup_bucket"": ""<12""}",,,no_match,"{""Cancer type"": ""Melanoma"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Nivolumab""}",no_match,Table
"In Gastric/GEJ trials using monotherapy included in the meta-analysis, map the generic ICI name to its brand name.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Name of ICI"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Gastric/GEJ' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Monotherapy/combination"", '')) = 'Monotherapy';",Name of ICI,"{""brand_name"": ""Yervoy""}",,,no_match,"{""Cancer type"": ""Gastric/GEJ"", ""Included in MA"": ""Yes"", ""Monotherapy/combination"": ""Monotherapy""}",no_match,Table
"In Gastric/GEJ trials using monotherapy included in the meta-analysis, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Name of ICI"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Gastric/GEJ' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Monotherapy/combination"", '')) = 'Monotherapy';",Name of ICI,"{""class"": ""CTLA-4""}",,,Class of ICI,"{""Cancer type"": ""Gastric/GEJ"", ""Included in MA"": ""Yes"", ""Monotherapy/combination"": ""Monotherapy""}",Class of ICI,Table
"In Small Cell Lung trials in Phase 3 using ICI+Chemo, extract the dosing schedule from the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Small Cell Lung' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+Chemo';",Treatment regimen,"{""schedule"": ""q3w""}",,,no_match,"{""Cancer type"": ""Small Cell Lung"", ""Trial phase"": ""Phase 3"", ""Type of combination"": ""ICI+Chemo""}",no_match,Table
"In Non-Small Cell Lung trials in Phase 3 for Nivolumab with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Control regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Non-Small Cell Lung' AND TRIM(COALESCE(""Control arm"", '')) = 'Chemo' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Nivolumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Control regimen,"{""control_drugs"": [""docetaxel""]}",,,no_match,"{""Cancer type"": ""Non-Small Cell Lung"", ""Control arm"": ""Chemo"", ""Name of ICI"": ""Nivolumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Atezolizumab trials using ICI+Chemo included in the meta-analysis, identify whether cisplatin or carboplatin was used in the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Treatment regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Atezolizumab' AND TRIM(COALESCE(""Type of combination"", '')) = 'ICI+Chemo';",Treatment regimen,"{""platinum_agent"": ""carboplatin""}",,,no_match,"{""Included in MA"": ""Yes"", ""Name of ICI"": ""Atezolizumab"", ""Type of combination"": ""ICI+Chemo""}",no_match,Table
"In Melanoma trials for Ipilimumab, bucket trial phase into early (1/1b/2) vs late (3/4).","SELECT ""Trial phase""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Trial phase"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Melanoma' AND TRIM(COALESCE(""Included in MA"", '')) = 'No' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Ipilimumab';",Trial phase,"{""phase_bucket"": ""late""}",,,no_match,"{""Cancer type"": ""Melanoma"", ""Included in MA"": ""No"", ""Name of ICI"": ""Ipilimumab""}",no_match,Table
"In Non-Small Cell Lung trials in Phase 3 for Pembrolizumab with chemotherapy control, identify the specific regimen name(s) represented in the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Control regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Cancer type"", '')) = 'Non-Small Cell Lung' AND TRIM(COALESCE(""Control arm"", '')) = 'Chemo' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Pembrolizumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 3';",Control regimen,"{""specific_regimens"": [""Carboplatin+Paclitaxel""]}",,,no_match,"{""Cancer type"": ""Non-Small Cell Lung"", ""Control arm"": ""Chemo"", ""Name of ICI"": ""Pembrolizumab"", ""Trial phase"": ""Phase 3""}",no_match,Table
"For Ipilimumab trials in Phase 2 with chemotherapy control included in the meta-analysis, identify the chemotherapy backbone from the control regimen (e.g., FOLFOX/CAPOX).","SELECT ""Control regimen""
FROM clinical_trials
WHERE LOWER(TRIM(COALESCE(""Control regimen"", ''))) NOT IN ('', 'none', 'null', 'nan') AND TRIM(COALESCE(""Control arm"", '')) = 'Chemo' AND TRIM(COALESCE(""Included in MA"", '')) = 'Yes' AND TRIM(COALESCE(""Name of ICI"", '')) = 'Ipilimumab' AND TRIM(COALESCE(""Trial phase"", '')) = 'Phase 2';",Control regimen,"{""control_backbone"": ""Carboplatin+Paclitaxel""}",,,no_match,"{""Control arm"": ""Chemo"", ""Included in MA"": ""Yes"", ""Name of ICI"": ""Ipilimumab"", ""Trial phase"": ""Phase 2""}",no_match,Table
