natural_language_query,sql_query,column_used,expected_llm_response,expected_llm_response_key_column_match,expected_llm_response_value_column_candidates,ground_truth_column,ground_truth_selection_details,final_column,Table or Retrieval,bucket
"In Non-Small Cell Lung Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Non-Small Cell Lung' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Non-Small Cell Lung Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Esophageal/GEJ Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Esophageal/GEJ' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Esophageal/GEJ Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Breast Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Breast' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Breast Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Gastric/GEJ Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Gastric/GEJ' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Gastric/GEJ Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Prostate trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Prostate';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Prostate trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Esophageal/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Esophageal/GEJ';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Esophageal/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Pancreatic Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Pancreatic' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Pancreatic Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Bladder Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Bladder' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Bladder Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Mesothelioma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Mesothelioma';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Mesothelioma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Pancreatic trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Pancreatic';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Pancreatic trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Hepatocellular trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hepatocellular';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Hepatocellular trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Head and Neck Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Head and Neck' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Head and Neck Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Small Cell Lung Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Small Cell Lung' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Small Cell Lung Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Melanoma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Melanoma';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Melanoma trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI),
"In Hodgkin Lymphoma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hodgkin Lymphoma' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Hodgkin Lymphoma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Melanoma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Melanoma' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Melanoma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Prostate Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Prostate' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Prostate Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Colorectal Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Colorectal' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Colorectal Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Bladder Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Bladder' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Bladder Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Breast Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Breast' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Breast Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Hepatocellular Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hepatocellular' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Hepatocellular Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
"In Pancreatic Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Pancreatic' AND ""Trial phase"" = 'Phase 3';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Pancreatic Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint),
